Scottish light 60/-;3.4;14.5;1.0325;1.009;17.5
Ordinary bitter;3.4;27.5;1.034;1.009;9
English mild;3.3;17;1.034;1.008;17.5
Scottish heavy 70/-;3.8;18.5;1.0375;1.012;14.5
American standard;4.45;11;1.043;1.008;4
American brown;5.1;42.5;1.045;1.014;18.5
German pilsner;5;35;1.047;1.009;3
Belgian pale ale;4.75;27.5;1.0475;1.0105;9
American pale ale;5.1;30;1.0505;1.0125;7.5
Flanders red;4.9;19.5;1.051;1.012;13
Dunkelweizen;5.25;12.5;1.052;1.012;20
India pale ale;6.35;50;1.0625;1.015;11
Doppelbock;7.25;25;1.077;1.024;21
Belgian dark ale;8;32.5;1.0815;1.019;13.5
Dortmunder;5.6;29.5;1.576;1.012;5
Berliner weisse;3.05;7.5;1.031;1.0075;3
Belgian gold ale;11.5;42.5;1.075;1.524;5.5
American lite;5.15;15.2;1.544;1.505;3
Special bitter;8.9;32.5;1.5615;1.51;13
American wheat;4.25;12.5;1.5625;1.517;5
Faro;7.25;10;1.568;1.512;10
Weizenbier;7.11;19;1.568;1.516;10.5
Belgian white;5;29;1.5695;1.514;3
Pale ale;5;30;1.571;1.516;7.5
Munich helles;7.3;30.5;1.5715;1.51;4
Lambic;5.55;10;1.572;1.512;9.5
Gueuze;7.9;10;1.572;1.512;10
Saison;8.55;32.5;1.592;1.5125;7
Helles bock;9.75;34;1.603;1.5155;7
Tripel;8.5;25;1.62;1.528;5.5
